Extracting BLE data from: ./packets.pcap

DIR   | HEX PAYLOAD
------------------------------------------------------------
RECV  | 10000000040000172002ff8a43f40000
RECV  | 07000000050000
SEND  | 0100
RECV  | 07000000050000
SEND  | 1a0000000400000800020100008000000830080f08240825080b
RECV  | 10000000040000172002ff8a43f40000
RECV  | 92000000040000c800020100008000000830080f08240825080b12765a060800102620007a0e494148454132353031524d364759a202240a0d58352031524d3647592e4f5343120838383451533556481895012000280130014000aa02260a025255122024282c3095999da1a5000000000000000000000000000000000000000000000082030b496e737461333630205835
RECV  | 07000000050000
SEND  | 33000000040000080002020000800000081e081308250816084308610859087408730872086e0855089c010887010867089601
RECV  | 10000000040000172002ff8a43f40000
RECV  | e3000000040000c80002020000800000081e0813082508160861089c01088701086708960112bb01980188b3a4da8733b2016e325f323635332e3330395f323730332e3735305f323637372e3636305f2d302e3432385f302e3437375f39302e3037315f323635322e3533315f383130302e3739305f323637382e3930305f302e3434375f302e3333325f39302e3138375f31303735325f353337365f31313337f2010776312e31302e37aa02260a025255122024282c3095999da1a50000000000000000000000000000000000000000000000880600b80600b80800b00903e00900
SEND  | 26000000040000080002030000800000089501080b08930108a701089d01089e01081408a501
RECV  | 10000000040000172002ff8a43f40000
RECV  | 5c000000040000c80002030000800000089501080b089d01089e010814123d5a06080010262000a20112080010808080dfef0a188080c0e5f20e2000a80900e80901f20917088080c0e5f20e10808080dfef0a18e6ccf9d6be012000
SEND  | 380000000400002700020400008000000a2466666666666666662d393565362d313037342d666666662d6666666665663035616334611002
RECV  | 12000000040000c800020400008000000800
SEND  | 1b000000040000e10002050000800000080110809a9e011880f524
RECV  | 10000000040000c80002050000800000
RECV  | 07000000050000
RECV  | 07000000050000
RECV  | 07000000050000
RECV  | 07000000050000
RECV  | 07000000050000
RECV  | 07000000050000
RECV  | 07000000050000
RECV  | 07000000050000
RECV  | 07000000050000
RECV  | 07000000050000
SEND  | 100000000400007d0002060000800000
RECV  | 10000000040000c80002060000800000
RECV  | 07000000050000
RECV  | 07000000050000
RECV  | 07000000050000
RECV  | 10000000040000172002ff8a43f40000
RECV  | 07000000050000
RECV  | 07000000050000
RECV  | 07000000050000
RECV  | 07000000050000
RECV  | 07000000050000
RECV  | 07000000050000
RECV  | 07000000050000
RECV  | 07000000050000
RECV  | 07000000050000
RECV  | 07000000050000
RECV  | 07000000050000
RECV  | 07000000050000
RECV  | 07000000050000
RECV  | 07000000050000
RECV  | 07000000050000
RECV  | 07000000050000
RECV  | 10000000040000172002ff8a43f40000
RECV  | 07000000050000
RECV  | 07000000050000
SEND  | ff0c01010000cc
